goos: linux
goarch: amd64
pkg: github.com/RoaringBitmap/roaring/v2
cpu: INTEL(R) XEON(R) GOLD 6548N
BenchmarkOrs/two-by-two-128                     	    1378	   1046481 ns/op	  113073 B/op	    3495 allocs/op
BenchmarkOrs/two-by-two-128                     	     487	   1211384 ns/op	  113056 B/op	    3495 allocs/op
BenchmarkOrs/two-by-two-128                     	     586	   1180655 ns/op	  113056 B/op	    3495 allocs/op
BenchmarkOrs/two-by-two-128                     	     584	   1175020 ns/op	  113056 B/op	    3495 allocs/op
BenchmarkOrs/two-by-two-128                     	     523	   1022334 ns/op	  113056 B/op	    3495 allocs/op
BenchmarkOrs/two-by-two-128                     	     475	   1162494 ns/op	  113056 B/op	    3495 allocs/op
BenchmarkOrs/two-by-two-128                     	     495	   1220115 ns/op	  113057 B/op	    3495 allocs/op
BenchmarkOrs/two-by-two-128                     	     492	   1241999 ns/op	  113056 B/op	    3495 allocs/op
BenchmarkOrs/fast-128                           	     459	   1275995 ns/op	  113136 B/op	    3496 allocs/op
BenchmarkOrs/fast-128                           	     469	   1255786 ns/op	  113137 B/op	    3496 allocs/op
BenchmarkOrs/fast-128                           	     460	   1165063 ns/op	  113137 B/op	    3496 allocs/op
BenchmarkOrs/fast-128                           	     476	   1283326 ns/op	  113136 B/op	    3496 allocs/op
BenchmarkOrs/fast-128                           	     463	   1285103 ns/op	  113136 B/op	    3496 allocs/op
BenchmarkOrs/fast-128                           	     457	   1302155 ns/op	  113136 B/op	    3496 allocs/op
BenchmarkOrs/fast-128                           	     474	   1286106 ns/op	  113136 B/op	    3496 allocs/op
BenchmarkOrs/fast-128                           	     466	   1278805 ns/op	  113136 B/op	    3496 allocs/op
BenchmarkOrs/next/add-128                       	     361	   1565267 ns/op	  124561 B/op	    2766 allocs/op
BenchmarkOrs/next/add-128                       	     367	   1481287 ns/op	  124561 B/op	    2766 allocs/op
BenchmarkOrs/next/add-128                       	     422	   1618727 ns/op	  124561 B/op	    2766 allocs/op
BenchmarkOrs/next/add-128                       	     363	   1617229 ns/op	  124561 B/op	    2766 allocs/op
BenchmarkOrs/next/add-128                       	     362	   1503749 ns/op	  124561 B/op	    2766 allocs/op
BenchmarkOrs/next/add-128                       	     398	   1565749 ns/op	  124561 B/op	    2766 allocs/op
BenchmarkOrs/next/add-128                       	     362	   1616048 ns/op	  124562 B/op	    2766 allocs/op
BenchmarkOrs/next/add-128                       	     360	   1586987 ns/op	  124561 B/op	    2766 allocs/op
BenchmarkIntersectionRoaring-128                	  311229	      2026 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  286327	      2143 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  261636	      2078 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  335407	      2162 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  283002	      2184 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  278565	      2086 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  283746	      2150 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  267760	      2143 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 4333081	       129.9 ns/op	       0 B/op	       0 allocs/op
